condition,run_id,n_total,fold,expert_wss,auto_wss,diff
statins_full_kfold10,5,2744,8,0.154,0.289,-0.13499999999999998
statins_full_kfold10,5,2744,9,0.246,0.22,0.025999999999999995
statins_full_kfold10,5,2744,10,0.008,0.008,0.0
statins_full_kfold10,6,2744,1,0.226,0.088,0.138
statins_full_kfold10,6,2744,2,0.045,0.081,-0.036000000000000004
statins_full_kfold10,6,2744,3,0.045,0.034,0.010999999999999996
statins_full_kfold10,6,2744,4,0.186,0.143,0.04300000000000001
statins_full_kfold10,6,2744,5,0.103,0.056,0.04699999999999999
statins_full_kfold10,6,2744,6,0.33,0.202,0.128
statins_full_kfold10,6,2744,7,0.151,0.184,-0.033
statins_full_kfold10,6,2744,8,0.191,0.377,-0.186
statins_full_kfold10,6,2744,9,0.213,0.198,0.014999999999999986
statins_full_kfold10,6,2744,10,0.001,0.016,-0.015
statins_full_kfold10,7,2744,1,0.208,0.135,0.07299999999999998
statins_full_kfold10,7,2744,2,0.088,0.092,-0.0040000000000000036
statins_full_kfold10,7,2744,3,0.095,0.088,0.007000000000000006
statins_full_kfold10,7,2744,4,0.194,0.165,0.028999999999999998
statins_full_kfold10,7,2744,5,0.118,0.008,0.10999999999999999
statins_full_kfold10,7,2744,6,0.41,0.238,0.172
statins_full_kfold10,7,2744,7,0.081,0.169,-0.08800000000000001
statins_full_kfold10,7,2744,8,0.205,0.333,-0.12800000000000003
statins_full_kfold10,7,2744,9,0.205,0.213,-0.008000000000000007
statins_full_kfold10,7,2744,10,-0.006,0.012,-0.018000000000000002
